#id,AGE,AGE (한글),MURDER TOOL,MURDER TOOL (한글),CLOTHE,CLOTHE (한글),SHOES,SHOES (한글),HEADWEAR,HEADWEAR (한글),ACCESSORY,ACCESSORY (한글),JOB,JOB (한글),TIME,TIME (한글),PLACE,PLACE (한글),SOUND,SOUND (한글),TRACE,TRACE (한글)
1512,50s,"50대 초반",Rusty Shotgun,"청테이프가 감긴 녹슨 샷건",Logo Printed Windbreaker,"유명 브랜드 로고가 있는 바람막이 점퍼",Black Converse,"검은색 컨버스 운동화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Black Backpack,"검은색 백팩",Hair Designer,"미용사",Early Morning,"어디에선가 들려오는 희미한 음악 소리",Big Square Onstage,"오전 6시",Hazy Music,"넓은 광장에 설치된 야외 무대 위",Body Hair,"체모"
1513,30s,"30대 중반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Strapped Leather Sandal,"스트랩이 두 개 달려 있는 검정색 가죽 샌들",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Silver Stainless Ring,"은색 써지컬 반지",Hair Designer,"미용사",Night,"헬리콥터 프로펠러 소리",Self Service Bar,"오후 6시",Propeller Sound,"눈에 띄는 입구가 없어 찾기 힘든 무인 주점",Excrements,"누가 쌌는지 모를 배설물"
1514,40s,"40대 후반",Beer Bottle,"깨지지 않은 500ml 갈색 맥주병",Logo Printed Windbreaker,"유명 브랜드 로고가 있는 바람막이 점퍼",Black Low Sneakers,"검은색 낮은 운동화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Engagement Ring,"네 번째 손가락에 반지",Janitor,"경비원",Late Night,"관절이 뒤틀리는 소리",Town Hall,"오후 9시",Joint twisted,"시골 마을의 마을 회관",Cigarette Butts,"필터만 남은 담배꽁초"
1515,50s,"50대 초반",Sniper Gun ULR338,"저격소총 ULR 338",Grey Hiking Jacket,"회색/분홍색 배색의 등산복",Thigh High Wellies,"허벅지까지 오는 고무 장화",Long Curly Hair,"장발의 곱슬머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Doctor,"의사",Late Night,"어디에선가 들려오는 희미한 음악 소리",Self Service Bar,"오후 9시",Hazy Music,"눈에 띄는 입구가 없어 찾기 힘든 무인 주점",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
1516,20s,"20대 초반",Pottassium Chloride,"염화칼륨",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",White Platform Sneakers,"키높이 흰색 스니커즈",Bob With Bangs,"앞머리가 있는 검은색 보브 컷",Black Backpack,"검은색 백팩",Mart Cashier,"마트 직원",Morning,"드릴 소리",Dormitory High School,"오전 9시",Drilling,"기숙사가 있는 자율형 사립고등학교",Disposable Lighter,"다방 전화번호가 쓰여 있는 일회용 라이터"
1517,50s,"50대 초반",Wooden Handle Hatchet,"나무 손잡이가 달린 캠핑용 도끼",Varsity Jacket,"대학교와 학과 이름, 학번과 기수가 수놓인 자켓",Ochre Leather Loper,"황토색 가죽 로퍼",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Black Backpack,"검은색 백팩",Engineer,"연구원",Night,"바닥에 침을 뱉는 소리",House With Yard,"오후 6시",Spit On Ground,"대문과 낮은 울타리가 있는 개인주택 마당",Fibrous Tissues,"섬유 조직 몇 개"
1518,50s,"50대 초반",Red Chainsaw,"붉은색 손잡이의 큰 전기톱",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",Black Boots,"검은색 8홀 가죽 워커",Short Hair,"숏컷",Stud Earrings,"귀에 딱 붙는 귀걸이",Janitor,"경비원",Morning,"손 관절을 꺾는 소리",Major Bank,"오전 9시",Crack Knuckles,"번화가에 위치한 대형 은행",Arson Attempt,"방화 시도의 흔적"
1519,50s,"50대 초반",Machete,"길이 35cm 정도 되는 마체테",Old Denim Jacket,"명품이긴한데 오래되어 낡은 청자켓",Knee High Wellies,"무릎까지 오는 고무 장화",Perm With Bangs,"앞머리가 있는 갈색 파마 머리",Lion Shaped Ring,"사자 얼굴 모양으로 조각된 은색 반지",Engineer,"연구원",Late Afternoon,"가방 안 물건들이 흔들리는 소리",Blackout Parking Lot,"오후 3시",Backpack Stuff Shaking,"정전된 아파트 지하주차장",Fingerprints,"지문 몇 점"
1520,40s,"40대 후반",Female Stocking,"여성용 커피색 스타킹",Jersey Zip Hoodie,"저지 소재 트레이닝복",Red Converse,"빨간색 컨버스 운동화",Pomade Hair,"잘 정돈된 포마드 머리",Engagement Ring,"네 번째 손가락에 반지",Athletic Trainer,"스포츠 트레이너",Late Night,"손가락 튕기는 소리",Closed Factory,"오후 9시",Finger Snap,"20년 전 문을 닫은 폐공장",Fibrous Tissues,"섬유 조직 몇 개"
1521,20s,"20대 초반",Teracotta Pot,"흙으로 꽉 찬 7kg 토분",Yellow Short Cardigan,"노란색 짧은 니트 가디건",White Basketball Shoes,"흰색 농구화",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Black Backpack,"검은색 백팩",Soldier,"군인",Morning,"망치질 소리",Semi Basement Apartment,"오전 9시",Hammering Sound,"쇠창살 달린 창문이 있는 반지하 원룸",Footprint 265mm workshoes,"265mm 정도의 작업화 발자국"
1522,40s,"40대 후반",Heavy Glass Ashtray,"화려하게 장식된 무거운 유리 재떨이",Brown Wool Coat,"짙은 갈색의 울 코트",White Basketball Shoes,"흰색 농구화",Long Hair,"어깨선을 넘는 장발",Silver Stainless Ring,"은색 써지컬 반지",Hair Designer,"미용사",Deep Dawn,"사물이 미끄러져 박살나는 소리",Messy Goshiwon,"오전 3시",Slip and Crash,"관리가 되지 않아 더러운 고시원",Black Hair,"검정색 머리카락"
1523,20s,"20대 초반",Submachine Gun AR-18,"기관단총 AR-18",Cotton Zip Hoodie,"면 소재 트레이닝복",Black Dress Shoes,"검은색 유광 정장 구두",Long Layered Hair,"장발의 레이어드 컷",Thick Glasses,"눈이 잘 보이지 않는 뿔테 안경",Actor,"배우",Morning,"고속도로 자동차 소리",Messy Goshiwon,"오전 9시",Cars On Highway,"관리가 되지 않아 더러운 고시원",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
1524,20s,"20대 초반",Yellow Box Cutter,"노란색 공업용 커터칼",Purple Short Cardigan,"짙은 보라색의 짧은 니트 가디건",Black Leather Loafer,"검은색 무광 가죽 로퍼",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Black Backpack,"검은색 백팩",Banker,"은행원",Morning,"신음 참는 소리",Lonesome Bus Station,"오전 9시",Bearing Groaning,"인적 드문 시골의 유일한 버스 정류장",Empty Cartridge,"탄피 몇 개"
1525,20s,"20대 초반",Piano Wire,"피아노줄",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Ivowy Suede Moccasin,"아이보리색 스웨이드 모카신",Cherry Red Hair,"체리 레드 염색머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Professor,"교수",Morning,"불규칙한 발걸음 소리",University Hospital,"오전 9시",Irregular Walking Sound,"역 주변에 위치한 대형 대학병원",Black Hair,"검정색 머리카락"
1526,40s,"40대 후반",Mercury,"수은",Undershirt,"흰색 런닝 셔츠",Black Low Sneakers,"검은색 낮은 운동화",Long Curly Hair,"장발의 곱슬머리",Eyebrow Piercing,"눈썹 피어싱",Engineer,"연구원",Late Night,"헬리콥터 프로펠러 소리",Famous Traditional Market,"오후 9시",Propeller Sound,"지방의 유명 여행지로 유명한 재래 시장",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
1527,50s,"50대 초반",Bottle of Propofol,"프로포폴 약병",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Black Converse,"검은색 컨버스 운동화",Pixie Cut,"앞머리가 있는 단정한 숏컷",Charm Earrings,"장식이 있는 귀걸이",Athletic Trainer,"스포츠 트레이너",Deep Dawn,"네온사인 간판 소리",Self Service Bar,"오전 3시",Neon Sign Noise,"눈에 띄는 입구가 없어 찾기 힘든 무인 주점",Nail Tips,"네일팁 몇 개"
1528,30s,"30대 중반",Bass Guitar,"4kg는 되어 보이는 무거운 베이스 기타",Green Hiking Jacket,"연두색/회색 배색의 등산복",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Pink Permed Hair,"밝은 분홍색의 커트 파마 머리",Nose Piercing,"코 피어싱",Janitor,"경비원",Late Afternoon,"물이 흐르는 소리",Old DVD room,"오후 3시",Water Flowing Sound,"오래된 건물 3층에 있는 DVD방",Feather,"옷 충전재로 사용되는 깃털 몇 가닥"
1529,20s,"20대 초반",Quick Pipe Wrench,"파란색 손잡이의 퀵 파이프 렌치",Duck Patch Hoodie,"소매에 노란색 오리 패치가 박힌 후드집업",Black Low Sneakers,"검은색 낮은 운동화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Actor,"배우",Early Morning,"손가락 튕기는 소리",Greek Style Pension,"오전 6시",Finger Snap,"바닷가에 위치한 그리스식 인테리어 펜션",Footprint 270mm Sneakers,"270mm 정도의 운동화 발자국"
1530,40s,"40대 후반",Glacial Acetic Acid,"종이컵에 가득 담긴 빙초산",China Collar Shirt,"땀으로 젖은 차이나 칼라 와이셔츠",Blue Football Boots,"파란색/노란색 배색의 축구화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Drop earrings,"아주 긴 드롭형 귀걸이",Mechanic,"정비공",Early Morning,"전기톱 소리",Blackout Parking Lot,"오전 6시",Sound of Chainsaw,"정전된 아파트 지하주차장",Black Hair,"검정색 머리카락"
1531,40s,"40대 후반",Bottle of Propofol,"프로포폴 약병",Vest With Slits,"옆부분에 트임이 있는 긴 흰색 니트 조끼",Black Boots,"검은색 8홀 가죽 워커",Mid-long Straight Hair,"중단발의 검은 생머리",Millitary Backpack,"군용 밀리터리 백팩",Sanitation Worker,"환경미화원",Deep Dawn,"종이컵을 잘근잘근 씹는 소리",Cargo Truck Back,"오전 3시",Chewing Paper Cup,"H사 포터 트럭의 짐칸",Metal Fragments,"금속 파편"
1532,20s,"20대 초반",Board With Nails,"못이 박혀 있는 각목",Crop Vest Knit,"옆부분에 트임이 있는 크롭 기장의 초록색 조끼",Red Converse,"빨간색 컨버스 운동화",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Charm Earrings,"장식이 있는 귀걸이",Nurse,"간호사",Late Night,"파도 소리",Hostel (Normal Dorm),"오후 9시",Sound of Wave,"세계 각국의 여행자가 머무르는 호스텔",Used Toilet Paper,"사용한 휴지 몇 장"
1533,20s,"20대 초반",Fire Axe,"빨간색 소방용 도끼",White Shirt,"붉은색 넥타이와 흰색 와이셔츠",Blue Colored Boots,"짙은 남색 6홀 가죽 워커",Buzz cut hair,"반삭",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Professor,"교수",Night,"네온사인 간판 소리",Single Corridor Apartment,"오후 6시",Neon Sign Noise,"낡은 복도식 아파트",Metal Fragments,"금속 파편"
1534,40s,"40대 후반",Wooden Handle Cleaver,"나무 손잡이가 달린 중식도",Jersey Zip Hoodie,"저지 소재 트레이닝복",White Platform Sneakers,"키높이 흰색 스니커즈",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Chef,"요리사",Morning,"네온사인 간판 소리",Famous Traditional Market,"오전 9시",Neon Sign Noise,"지방의 유명 여행지로 유명한 재래 시장",Black Wig Hair,"검정색 가발용 머리카락"
1535,40s,"40대 후반",Potassium Cyanide,"청산가리",Stripe Tshirt,"푸른색/흰색 스트라이프 반팔 셔츠",White Platform Sneakers,"키높이 흰색 스니커즈",High Ponytail,"장발을 높게 묶은 포니테일",Chocker Necklace,"초커",Sanitation Worker,"환경미화원",Late Night,"바닥에 침을 뱉는 소리",Private English Academy,"오후 9시",Spit On Ground,"학원가 건물 5층의 영어 학원",Footprint 265mm workshoes,"265mm 정도의 작업화 발자국"
1536,20s,"20대 초반",Studded Dirty Knuckle,"마디마다 스터드가 박힌 두껍고 더러운 금색 너클",Jersey Zip Hoodie,"저지 소재 트레이닝복",Bare Foot,"그냥 맨발",Long Hippie Perm,"장발의 밝은 갈색 히피펌",Black Backpack,"검은색 백팩",Sanitation Worker,"환경미화원",Late Night,"네온사인 간판 소리",Big Square Onstage,"오후 9시",Neon Sign Noise,"넓은 광장에 설치된 야외 무대 위",Bullet,"총알 1개"
1537,60s,"60대 중반",Charging Cable,"검은색 충전기 케이블",Logo Printed Sweatshirt,"유명 브랜드 로고가 프린트되어 있는 회색 맨투맨",Ochre Leather Loper,"황토색 가죽 로퍼",High Ponytail,"장발을 높게 묶은 포니테일",Leg Prosthetics,"의족",Police Officer,"경찰",Night,"세탁기 소리",Fire Escape Building,"오후 6시",Washing Machine Sound,"대기업 사옥 32층 비상계단",Footprint 265mm workshoes,"265mm 정도의 작업화 발자국"
1538,50s,"50대 초반",Monkey Wrench,"빨간색 12인치 몽키 스패너",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",Black Low Sneakers,"검은색 낮은 운동화",Short Permed Hair,"밝은 갈색의 쉐도우 펌 커트 머리",Silver Stainless Ring,"은색 써지컬 반지",Guard,"경호원",Deep Dawn,"피 토하는 소리",Underground Grocery Store,"오전 3시",Throw Up Blood,"프랜차이즈 대형 마트 지하 1층 식품 코너",Crumpled Cigarette Package,"구겨진 담배갑"
1539,40s,"40대 후반",Hydrochloric Acid,"염산",Pilot Bomber Jacket,"비닐 재질의 남색 항공 점퍼",White Basketball Shoes,"흰색 농구화",Two Block Haircut,"왁스로 손질된 검은색 투블럭 머리",Colorful Bracelets,"팔 위에 여러 겹 겹쳐 낀 화려한 팔찌들",Chef,"요리사",Late Night,"런닝머신 돌아가는 소리",Airbnb With Host,"오후 9시",Running Treadmill,"호스트와 함께 거주하는 개인주택 에어비앤비",Paint Stain,"페인트 자국"
1540,20s,"20대 초반",Bereta APX,"권총 베레타 APX",Long Sleeve Tshirt,"소매가 매우 긴 기장의 청록색 티셔츠",Chess Patteren loafer,"체스판 무늬의 슬립온",Long Hair,"어깨선을 넘는 장발",Buddhist Bead Bracelet,"불교 나무 염주 팔찌",Athlete,"운동선수",Early Morning,"망치질 소리",Self Service Cafe,"오전 6시",Hammering Sound,"낡은 공장을 개조해 만든 무인 카페",Fly,"파리 시체 한 마리"
1541,50s,"50대 초반",Tetrodotoxin Powder,"테트로도톡신 가루",Brown Wool Coat,"짙은 갈색의 울 코트",Black Converse,"검은색 컨버스 운동화",Comma Hairstyle,"검은색 쉼표 머리",Engagement Ring,"네 번째 손가락에 반지",Nurse,"간호사",Night,"플라스틱이 서로 부딪치는 소리",Subway Station Entrance,"오후 6시",Plastic Beating Sound,"유동인구가 많은 지하철 역 입구",Women`s Underwear,"여자 속옷"
1542,50s,"50대 초반",Gasoline With Zippo,"휘발유와 지포 라이터",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",Black Low Sneakers,"검은색 낮은 운동화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Silver Stainless Ring,"은색 써지컬 반지",Nurse,"간호사",Deep Dawn,"사람들의 대화 소리",Private English Academy,"오전 3시",People Having Conversation,"학원가 건물 5층의 영어 학원",Light Brown Hair,"밝은 갈색의 머리카락"
1543,60s,"60대 중반",Remington M7188,"산탄총 레밍턴 M7188",Long buttonless Cardigan,"갈색의 단추 없는 긴 가디건",German Army Trainers,"갈색 고무 밑창의 흰색 독일군 스니커즈",Pomade Hair,"잘 정돈된 포마드 머리",Millitary Backpack,"군용 밀리터리 백팩",Janitor,"경비원",Deep Dawn,"자동차 브레이크 소리",Officetel Underground Parkinglot,"오전 3시",Skid Sounds,"오피스텔의 지하 주차장",Erased Blood Stain,"루미놀 검사로 발견된 지워진 혈액 자국"
1544,20s,"20대 초반",Old Striped Tie,"헤진 파란색 줄무늬 넥타이",Black Hiking Jacket,"검은색/회색 배색의 등산복",Old Leather Oxford,"낡은 갈색 가죽 옥스포드",Mid-long Curly Hair,"중단발의 밝은 갈색 곱슬머리",Engagement Ring,"네 번째 손가락에 반지",Athletic Trainer,"스포츠 트레이너",Morning,"바닥에 침을 뱉는 소리",Officetel Underground Parkinglot,"오전 9시",Spit On Ground,"오피스텔의 지하 주차장",Fingerprints,"지문 몇 점"
1545,30s,"30대 중반",Poisoned Cool-Aid,"냄새가 이상한 레몬에이드",Blue Shirt,"검은색 넥타이와 파란색 와이셔츠",Black Low Sneakers,"검은색 낮은 운동화",Short Hair,"숏컷",Skull Shaped Ring,"해골 모양으로 조각된 은색 반지",Model,"모델",Night,"변기 물 내리는 소리",Night Mountain,"오후 6시",Toilet Flush Sound,"야산 깊은 곳",Fingerprints,"지문 몇 점"
1546,20s,"20대 초반",Transparent Vodka Bottle,"투명한 500ML 보드카 병",Stripe Turtleneck Knit,"검은색/흰색 스트라이프 폴라 니트",Black Low Sneakers,"검은색 낮은 운동화",Black Short Babyperm,"검은색의 짧은 베이비 펌 커트 머리",Engagement Ring,"네 번째 손가락에 반지",Professor,"교수",Late Night,"나지막한 대화 소리",SUV Back Seats,"오후 9시",Quite Conversation,"검은색 SUV 차량 뒷좌석",Glass Fragments,"유리 파편"
1547,20s,"20대 초반",Thick Rubber Wire,"검은색 두꺼운 전선",Luxury Brown Shearing,"명품 브랜드의 옅은 갈색 무스탕",Black Leather Loafer,"검은색 무광 가죽 로퍼",Natural Two Block,"손질되지 않은 검은색 투블럭 머리",Tennis Wristband,"스포츠 손목 보호대",Nurse,"간호사",Late Night,"비명 소리",Members Only Studyroom,"오후 9시",Screaming,"학원가 건물 7층의 회원제 독서실",Nail Tips,"네일팁 몇 개"
